start,status,timestamp,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,humid1,humid2,humid3,humid4,humid5,humid6,humid7,humid8,tempcomb,humidcomb,wind,raina,rain,stop
$1,1,2019-02-28 00:18:30.391189,,,,,,,,,,,,,,,,,6.8,68,0.0,2806,0,0
$1,1,2019-02-28 00:21:02.979092,,,,,,,,,,,,,,,,,6.9,68,0.0,2806,0,0
$1,1,2019-02-28 00:23:35.457364,,,,,,,,,,,,,,,,,7.0,67,0.0,2806,0,0
$1,1,2019-02-28 00:26:07.944396,,,,,,,,,,,,,,,,,7.2,67,0.0,2806,0,0
$1,1,2019-02-28 00:33:45.463265,,,,,,,,,,,,,,,,,7.1,67,0.0,2806,0,0
$1,1,2019-02-28 00:59:10.552539,,,,,,,,,,,,,,,,,6.9,67,0.0,2806,0,0
$1,1,2019-02-28 01:09:20.593503,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 01:11:53.107895,,,,,,,,,,,,,,,,,6.7,67,0.0,2806,0,0
$1,1,2019-02-28 01:14:25.606253,,,,,,,,,,,,,,,,,6.6,68,0.0,2806,0,0
$1,1,2019-02-28 01:29:40.687746,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 01:32:13.167863,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 01:42:23.222324,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 01:52:33.270866,,,,,,,,,,,,,,,,,7.0,66,0.0,2806,0,0
$1,1,2019-02-28 01:55:05.775385,,,,,,,,,,,,,,,,,7.0,66,0.0,2806,0,0
$1,1,2019-02-28 02:07:48.385423,,,,,,,,,,,,,,,,,6.9,66,0.0,2806,0,0
$1,1,2019-02-28 02:12:53.338675,,,,,,,,,,,,,,,,,6.7,66,0.0,2806,0,0
$1,1,2019-02-28 02:15:25.857068,,,,,,,,,,,,,,,,,6.6,66,0.0,2806,0,0
$1,1,2019-02-28 02:20:30.863844,,,,,,,,,,,,,,,,,6.7,66,0.0,2806,0,0
$1,1,2019-02-28 02:23:03.377337,,,,,,,,,,,,,,,,,6.7,66,0.0,2806,0,0
$1,1,2019-02-28 02:28:08.418719,,,,,,,,,,,,,,,,,6.6,67,0.0,2806,0,0
$1,1,2019-02-28 02:33:13.402677,,,,,,,,,,,,,,,,,6.4,67,0.0,2806,0,0
$1,1,2019-02-28 02:35:45.914720,,,,,,,,,,,,,,,,,6.4,68,0.0,2806,0,0
$1,1,2019-02-28 02:38:18.427701,,,,,,,,,,,,,,,,,6.4,68,0.0,2806,0,0
$1,1,2019-02-28 02:45:55.994450,,,,,,,,,,,,,,,,,6.5,68,0.0,2806,0,0
$1,1,2019-02-28 02:48:28.455527,,,,,,,,,,,,,,,,,6.5,68,0.0,2806,0,0
$1,1,2019-02-28 02:51:00.977111,,,,,,,,,,,,,,,,,6.6,67,0.0,2806,0,0
$1,1,2019-02-28 02:53:33.490231,,,,,,,,,,,,,,,,,6.6,67,0.0,2806,0,0
$1,1,2019-02-28 02:56:06.091889,,,,,,,,,,,,,,,,,6.7,67,0.0,2806,0,0
$1,1,2019-02-28 02:58:38.504867,,,,,,,,,,,,,,,,,6.7,67,0.0,2806,0,0
$1,1,2019-02-28 03:01:11.015580,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 03:13:53.566092,,,,,,,,,,,,,,,,,6.8,67,0.0,2806,0,0
$1,1,2019-02-28 03:16:26.085917,,,,,,,,,,,,,,,,,6.7,67,0.0,2806,0,0
$1,1,2019-02-28 03:18:58.593039,,,,,,,,,,,,,,,,,6.6,68,0.0,2806,0,0
$1,1,2019-02-28 03:24:03.666823,,,,,,,,,,,,,,,,,6.5,68,0.0,2806,0,0
$1,1,2019-02-28 03:26:36.147303,,,,,,,,,,,,,,,,,6.4,68,0.0,2806,0,0
$1,1,2019-02-28 03:31:41.163925,,,,,,,,,,,,,,,,,6.4,69,0.0,2806,0,0
$1,1,2019-02-28 03:34:13.631248,,,,,,,,,,,,,,,,,6.4,69,0.0,2806,0,0
$1,1,2019-02-28 03:36:46.139577,,,,,,,,,,,,,,,,,6.3,69,0.0,2806,0,0
$1,1,2019-02-28 03:39:18.724046,,,,,,,,,,,,,,,,,6.2,70,0.0,2806,0,0
$1,1,2019-02-28 03:41:51.242456,,,,,,,,,,,,,,,,,6.2,70,0.0,2806,0,0
$1,1,2019-02-28 03:49:28.689673,,,,,,,,,,,,,,,,,6.2,70,0.0,2806,0,0
$1,1,2019-02-28 03:52:01.243569,,,,,,,,,,,,,,,,,6.2,70,0.0,2806,0,0
$1,1,2019-02-28 03:54:33.724347,,,,,,,,,,,,,,,,,6.1,70,0.0,2806,0,0
$1,1,2019-02-28 03:59:38.735692,,,,,,,,,,,,,,,,,6.1,70,0.0,2806,0,0
$1,1,2019-02-28 04:04:43.749735,,,,,,,,,,,,,,,,,6.1,70,0.0,2806,0,0
$1,1,2019-02-28 04:07:16.282795,,,,,,,,,,,,,,,,,6.0,70,0.0,2806,0,0
$1,1,2019-02-28 04:09:48.819662,,,,,,,,,,,,,,,,,6.0,71,0.0,2806,0,0
$1,1,2019-02-28 04:12:21.277083,,,,,,,,,,,,,,,,,5.9,71,0.0,2806,0,0
$1,1,2019-02-28 04:14:53.810999,,,,,,,,,,,,,,,,,5.8,71,0.0,2806,0,0
$1,1,2019-02-28 04:17:26.360898,,,,,,,,,,,,,,,,,5.8,71,0.0,2806,0,0
$1,1,2019-02-28 04:19:58.820391,,,,,,,,,,,,,,,,,5.7,71,0.0,2806,0,0
$1,1,2019-02-28 04:22:31.318074,,,,,,,,,,,,,,,,,5.7,72,0.0,2806,0,0
$1,1,2019-02-28 04:25:03.853910,,,,,,,,,,,,,,,,,5.7,72,0.0,2806,0,0
$1,1,2019-02-28 04:27:36.428472,,,,,,,,,,,,,,,,,5.7,72,0.0,2806,0,0
$1,1,2019-02-28 04:30:08.855515,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:35:13.938074,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:37:46.383951,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:40:18.913383,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:45:23.912015,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:47:56.446995,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:50:28.927964,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:53:01.480507,,,,,,,,,,,,,,,,,5.6,72,0.2,2806,0,0
$1,1,2019-02-28 04:55:33.963801,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 04:58:06.456182,,,,,,,,,,,,,,,,,5.6,72,0.2,2806,0,0
$1,1,2019-02-28 05:00:38.984395,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:03:11.482774,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:05:43.986429,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:08:16.500674,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:10:49.046868,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:13:21.515354,,,,,,,,,,,,,,,,,5.6,72,0.5,2806,0,0
$1,1,2019-02-28 05:15:54.043006,,,,,,,,,,,,,,,,,5.6,72,0.2,2806,0,0
$1,1,2019-02-28 05:18:26.551197,,,,,,,,,,,,,,,,,5.6,72,0.0,2806,0,0
$1,1,2019-02-28 05:26:04.080105,,,,,,,,,,,,,,,,,5.4,72,0.0,2806,0,0
$1,1,2019-02-28 05:28:36.594422,,,,,,,,,,,,,,,,,5.5,72,0.2,2806,0,0
$1,1,2019-02-28 05:31:09.129876,,,,,,,,,,,,,,,,,5.4,72,0.0,2806,0,0
$1,1,2019-02-28 05:33:41.611932,,,,,,,,,,,,,,,,,5.4,72,0.0,2806,0,0
$1,1,2019-02-28 05:36:14.181545,,,,,,,,,,,,,,,,,5.4,72,0.0,2806,0,0
$1,1,2019-02-28 05:38:46.656360,,,,,,,,,,,,,,,,,5.4,72,0.0,2806,0,0
$1,1,2019-02-28 05:41:19.140280,,,,,,,,,,,,,,,,,5.4,73,0.0,2806,0,0
$1,1,2019-02-28 05:43:51.658460,,,,,,,,,,,,,,,,,5.3,73,0.0,2806,0,0
$1,1,2019-02-28 05:46:24.145153,,,,,,,,,,,,,,,,,5.2,73,0.0,2806,0,0
$1,1,2019-02-28 05:48:56.653010,,,,,,,,,,,,,,,,,5.2,73,0.0,2806,0,0
$1,1,2019-02-28 05:51:29.158486,,,,,,,,,,,,,,,,,5.1,73,0.0,2806,0,0
$1,1,2019-02-28 05:56:34.176859,,,,,,,,,,,,,,,,,5.1,73,0.0,2806,0,0
$1,1,2019-02-28 06:01:39.224111,,,,,,,,,,,,,,,,,4.9,73,0.0,2806,0,0
$1,1,2019-02-28 06:06:44.226438,,,,,,,,,,,,,,,,,4.8,73,0.0,2806,0,0
$1,1,2019-02-28 06:09:16.769178,,,,,,,,,,,,,,,,,4.8,74,0.0,2806,0,0
$1,1,2019-02-28 06:11:49.269441,,,,,,,,,,,,,,,,,4.9,74,0.0,2806,0,0
$1,1,2019-02-28 06:14:21.761113,,,,,,,,,,,,,,,,,4.9,73,0.0,2806,0,0
$1,1,2019-02-28 06:16:54.289613,,,,,,,,,,,,,,,,,4.9,73,0.0,2806,0,0
$1,1,2019-02-28 06:19:26.783111,,,,,,,,,,,,,,,,,4.8,73,0.0,2806,0,0
$1,1,2019-02-28 06:21:59.277886,,,,,,,,,,,,,,,,,4.8,74,0.0,2806,0,0
$1,1,2019-02-28 06:24:31.842386,,,,,,,,,,,,,,,,,4.8,74,0.0,2806,0,0
