start,status,timestamp,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,humid1,humid2,humid3,humid4,humid5,humid6,humid7,humid8,tempcomb,humidcomb,wind,raina,rain,stop
$1,1,2018-05-19 00:01:12.934120,,,,,,,,,,,,,,,,,11.8,69,0.0,2421,0,0
$1,1,2018-05-19 00:03:45.448172,,,,,,,,,,,,,,,,,11.9,70,0.0,2421,0,0
$1,1,2018-05-19 00:06:17.963999,,,,,,,,,,,,,,,,,11.8,70,0.0,2421,0,0
$1,1,2018-05-19 00:08:50.503009,,,,,,,,,,,,,,,,,11.9,70,0.0,2421,0,0
$1,1,2018-05-19 00:11:22.973172,,,,,,,,,,,,,,,,,11.7,70,0.0,2421,0,0
$1,1,2018-05-19 00:13:55.511813,,,,,,,,,,,,,,,,,11.8,70,0.0,2421,0,0
$1,1,2018-05-19 00:16:27.992420,,,,,,,,,,,,,,,,,11.6,70,0.0,2421,0,0
