start;status;timestamp;temp1;temp2;temp3;temp4;temp5;temp6;temp7;temp8;humid1;humid2;humid3;humid4;humid5;humid6;humid7;humid8;tempcomb;humidcomb;wind;raina;rain;stop
$1;1;2016-01-06 15:47:55.789246;;;;;;;;;;;;;;;;;6,7;88;0,0;15;0;0
$1;1;2016-01-06 15:50:28.288947;;;;;;;;;;;;;;;;;6,7;88;0,0;15;0;0
$1;1;2016-01-06 15:53:00.786759;;;;;;;;;;;;;;;;;6,7;87;0,0;15;0;0
$1;1;2016-01-06 15:55:33.338879;;;;;;;;;;;;;;;;;6,7;87;0,0;15;0;0
