start,status,timestamp,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,humid1,humid2,humid3,humid4,humid5,humid6,humid7,humid8,tempcomb,humidcomb,wind,raina,rain,stop
$1,1,2019-03-28 00:09:13.182092,,,,,,,,,,,,,,,,,6.0,66,0.0,2806,0,0
$1,1,2019-03-28 00:29:33.294166,,,,,,,,,,,,,,,,,5.6,67,0.0,2806,0,0
$1,1,2019-03-28 01:48:21.082110,,,,,,,,,,,,,,,,,3.0,75,0.0,2806,0,0
$1,1,2019-03-28 02:01:03.714192,,,,,,,,,,,,,,,,,3.0,75,0.0,2806,0,0
$1,1,2019-03-28 02:34:06.271410,,,,,,,,,,,,,,,,,3.5,74,0.0,2806,0,0
$1,1,2019-03-28 02:36:38.797199,,,,,,,,,,,,,,,,,3.5,74,0.0,2806,0,0
$1,1,2019-03-28 02:39:11.330008,,,,,,,,,,,,,,,,,3.6,74,0.0,2806,0,0
$1,1,2019-03-28 02:44:16.333671,,,,,,,,,,,,,,,,,3.7,74,0.0,2806,0,0
$1,1,2019-03-28 02:56:58.918749,,,,,,,,,,,,,,,,,3.5,74,0.0,2806,0,0
$1,1,2019-03-28 02:59:31.390627,,,,,,,,,,,,,,,,,3.4,74,0.0,2806,0,0
$1,1,2019-03-28 03:02:03.884129,,,,,,,,,,,,,,,,,3.3,74,0.0,2806,0,0
$1,1,2019-03-28 03:07:08.904788,,,,,,,,,,,,,,,,,3.0,74,0.0,2806,0,0
$1,1,2019-03-28 03:12:13.917531,,,,,,,,,,,,,,,,,3.0,75,0.0,2806,0,0
$1,1,2019-03-28 03:14:46.440635,,,,,,,,,,,,,,,,,3.2,75,0.0,2806,0,0
$1,1,2019-03-28 03:17:18.972115,,,,,,,,,,,,,,,,,3.4,75,0.0,2806,0,0
$1,1,2019-03-28 03:19:51.576867,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:22:23.987058,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:24:56.481061,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:27:29.013816,,,,,,,,,,,,,,,,,3.4,75,0.0,2806,0,0
$1,1,2019-03-28 03:30:01.531286,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:32:34.025102,,,,,,,,,,,,,,,,,3.2,75,0.0,2806,0,0
$1,1,2019-03-28 03:35:06.556823,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:37:39.042290,,,,,,,,,,,,,,,,,3.3,75,0.0,2806,0,0
$1,1,2019-03-28 03:52:54.101030,,,,,,,,,,,,,,,,,3.1,75,0.0,2806,0,0
$1,1,2019-03-28 04:00:31.687026,,,,,,,,,,,,,,,,,2.7,75,0.0,2806,0,0
$1,1,2019-03-28 04:03:04.144413,,,,,,,,,,,,,,,,,2.5,76,0.0,2806,0,0
$1,1,2019-03-28 04:05:36.662997,,,,,,,,,,,,,,,,,2.6,76,0.0,2806,0,0
$1,1,2019-03-28 04:08:09.198458,,,,,,,,,,,,,,,,,2.5,76,0.0,2806,0,0
$1,1,2019-03-28 04:13:14.187489,,,,,,,,,,,,,,,,,2.7,76,0.0,2806,0,0
$1,1,2019-03-28 04:15:46.760601,,,,,,,,,,,,,,,,,2.7,76,0.0,2806,0,0
$1,1,2019-03-28 04:18:19.233826,,,,,,,,,,,,,,,,,2.7,76,0.0,2806,0,0
$1,1,2019-03-28 04:20:51.731081,,,,,,,,,,,,,,,,,2.9,76,0.0,2806,0,0
$1,1,2019-03-28 04:23:24.248733,,,,,,,,,,,,,,,,,3.0,76,0.0,2806,0,0
$1,1,2019-03-28 04:28:29.246787,,,,,,,,,,,,,,,,,3.5,75,0.0,2806,0,0
$1,1,2019-03-28 04:31:01.775234,,,,,,,,,,,,,,,,,3.9,74,0.0,2806,0,0
$1,1,2019-03-28 04:36:06.851798,,,,,,,,,,,,,,,,,4.1,73,0.0,2806,0,0
$1,1,2019-03-28 04:38:39.307630,,,,,,,,,,,,,,,,,4.2,73,0.0,2806,0,0
$1,1,2019-03-28 04:41:11.834730,,,,,,,,,,,,,,,,,4.3,72,0.0,2806,0,0
$1,1,2019-03-28 04:43:44.338195,,,,,,,,,,,,,,,,,4.2,72,0.0,2806,0,0
$1,1,2019-03-28 04:48:49.351848,,,,,,,,,,,,,,,,,3.9,72,0.0,2806,0,0
$1,1,2019-03-28 04:51:21.820010,,,,,,,,,,,,,,,,,3.5,73,0.0,2806,0,0
$1,1,2019-03-28 04:53:54.345028,,,,,,,,,,,,,,,,,3.1,73,0.0,2806,0,0
$1,1,2019-03-28 04:58:59.378780,,,,,,,,,,,,,,,,,2.6,74,0.0,2806,0,0
$1,1,2019-03-28 05:01:31.883936,,,,,,,,,,,,,,,,,2.3,75,0.0,2806,0,0
$1,1,2019-03-28 05:09:09.409542,,,,,,,,,,,,,,,,,1.7,76,0.0,2806,0,0
$1,1,2019-03-28 05:11:41.910455,,,,,,,,,,,,,,,,,1.5,76,0.0,2806,0,0
$1,1,2019-03-28 05:14:14.454961,,,,,,,,,,,,,,,,,1.4,76,0.0,2806,0,0
$1,1,2019-03-28 05:19:19.461895,,,,,,,,,,,,,,,,,1.2,77,0.0,2806,0,0
$1,1,2019-03-28 05:21:51.961082,,,,,,,,,,,,,,,,,1.2,77,0.0,2806,0,0
$1,1,2019-03-28 05:24:24.475771,,,,,,,,,,,,,,,,,1.0,77,0.0,2806,0,0
$1,1,2019-03-28 05:26:56.967791,,,,,,,,,,,,,,,,,0.9,77,0.0,2806,0,0
$1,1,2019-03-28 05:29:29.494724,,,,,,,,,,,,,,,,,0.8,77,0.0,2806,0,0
$1,1,2019-03-28 05:32:01.991877,,,,,,,,,,,,,,,,,0.7,78,0.0,2806,0,0
