start,status,timestamp,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,humid1,humid2,humid3,humid4,humid5,humid6,humid7,humid8,tempcomb,humidcomb,wind,raina,rain,stop
$1,1,2018-09-02 00:00:58.661352,,,,,,,,,,,,,,,,,15.5,56,0.0,2680,0,0
$1,1,2018-09-02 00:03:31.200411,,,,,,,,,,,,,,,,,15.4,56,0.0,2680,0,0
$1,1,2018-09-02 00:06:03.704063,,,,,,,,,,,,,,,,,15.5,56,0.0,2680,0,0
$1,1,2018-09-02 00:08:36.189397,,,,,,,,,,,,,,,,,15.4,56,0.0,2680,0,0
$1,1,2018-09-02 00:11:08.712814,,,,,,,,,,,,,,,,,15.4,56,0.0,2680,0,0
$1,1,2018-09-02 00:13:41.247969,,,,,,,,,,,,,,,,,15.4,57,0.0,2680,0,0
$1,1,2018-09-02 00:18:46.227908,,,,,,,,,,,,,,,,,15.2,58,0.0,2680,0,0
$1,1,2018-09-02 00:21:18.751365,,,,,,,,,,,,,,,,,15.1,59,0.0,2680,0,0
$1,1,2018-09-02 00:23:51.265791,,,,,,,,,,,,,,,,,15.1,58,0.0,2680,0,0
$1,1,2018-09-02 00:26:23.783698,,,,,,,,,,,,,,,,,15.1,58,0.0,2680,0,0
$1,1,2018-09-02 00:28:56.282933,,,,,,,,,,,,,,,,,15.1,59,0.0,2680,0,0
$1,1,2018-09-02 00:31:28.790604,,,,,,,,,,,,,,,,,15.1,58,0.0,2680,0,0
$1,1,2018-09-02 00:34:01.287025,,,,,,,,,,,,,,,,,15.1,58,0.0,2680,0,0
$1,1,2018-09-02 00:36:33.857133,,,,,,,,,,,,,,,,,15.0,58,0.0,2680,0,0
$1,1,2018-09-02 00:39:06.323056,,,,,,,,,,,,,,,,,14.9,59,0.0,2680,0,0
$1,1,2018-09-02 00:41:38.793029,,,,,,,,,,,,,,,,,14.8,58,0.0,2680,0,0
$1,1,2018-09-02 00:44:11.332084,,,,,,,,,,,,,,,,,14.8,57,0.0,2680,0,0
$1,1,2018-09-02 00:46:43.910946,,,,,,,,,,,,,,,,,14.9,57,0.0,2680,0,0
$1,1,2018-09-02 00:49:16.347688,,,,,,,,,,,,,,,,,14.9,57,0.0,2680,0,0
$1,1,2018-09-02 00:51:48.901695,,,,,,,,,,,,,,,,,15.0,57,0.0,2680,0,0
$1,1,2018-09-02 00:54:21.374875,,,,,,,,,,,,,,,,,15.1,57,0.0,2680,0,0
$1,1,2018-09-02 00:59:26.412969,,,,,,,,,,,,,,,,,15.1,56,0.0,2680,0,0
$1,1,2018-09-02 01:01:58.884059,,,,,,,,,,,,,,,,,15.2,56,0.0,2680,0,0
$1,1,2018-09-02 01:04:31.373965,,,,,,,,,,,,,,,,,15.2,56,0.0,2680,0,0
$1,1,2018-09-02 01:07:03.890146,,,,,,,,,,,,,,,,,15.2,56,0.0,2680,0,0
$1,1,2018-09-02 01:09:36.391347,,,,,,,,,,,,,,,,,15.2,56,0.0,2680,0,0
$1,1,2018-09-02 01:12:08.892936,,,,,,,,,,,,,,,,,15.2,56,0.0,2680,0,0
$1,1,2018-09-02 01:14:41.448682,,,,,,,,,,,,,,,,,15.3,55,0.0,2680,0,0
$1,1,2018-09-02 01:17:13.921870,,,,,,,,,,,,,,,,,15.4,55,0.0,2680,0,0
$1,1,2018-09-02 01:19:46.420071,,,,,,,,,,,,,,,,,15.4,57,0.0,2680,0,0
$1,1,2018-09-02 01:22:18.995892,,,,,,,,,,,,,,,,,15.4,58,0.0,2680,0,0
$1,1,2018-09-02 01:24:51.435582,,,,,,,,,,,,,,,,,15.2,61,0.0,2680,0,0
$1,1,2018-09-02 01:27:23.994667,,,,,,,,,,,,,,,,,15.1,62,0.0,2680,0,0
$1,1,2018-09-02 01:29:56.488618,,,,,,,,,,,,,,,,,14.9,63,0.0,2680,0,0
$1,1,2018-09-02 01:32:28.999352,,,,,,,,,,,,,,,,,14.8,63,0.0,2680,0,0
$1,1,2018-09-02 01:35:01.486217,,,,,,,,,,,,,,,,,14.7,64,0.0,2680,0,0
$1,1,2018-09-02 01:40:06.523786,,,,,,,,,,,,,,,,,14.5,64,0.0,2680,0,0
